season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2015-16,Southland,13,18,0.419,8,10,0.444,-13.93,-7.53,71.3,73.3,30,30,30,0,20,Joe Golding,FALSE,2016,FALSE,FALSE,FALSE,-2,abilene-christian,144.6
2014-15,Southland,10,21,0.323,4,14,0.222,-17.2,-6.34,63.7,70.5,30,30,30,0,20,Joe Golding,FALSE,2015,FALSE,FALSE,FALSE,-6.8,abilene-christian,134.2
2013-14,Southland,11,20,0.355,2,12,0.143,-19.6,-4.12,71.4,71.9,30,30,30,0,20,Joe Golding,FALSE,2014,FALSE,FALSE,FALSE,-0.5,abilene-christian,143.3
2015-16,MWC,14,18,0.438,5,13,0.278,-5.51,0.66,68.4,72.8,30,30,30,0,20,Dave Pilipovich,FALSE,2016,FALSE,FALSE,FALSE,-4.4,air-force,141.2
2014-15,MWC,14,17,0.452,6,12,0.333,-1.85,-0.71,65.7,65.1,30,30,30,0,20,Dave Pilipovich,FALSE,2015,FALSE,FALSE,FALSE,0.6,air-force,130.8
2013-14,MWC,12,18,0.4,6,12,0.333,-4.08,1.71,66,69.1,30,30,30,0,20,Dave Pilipovich,FALSE,2014,FALSE,FALSE,FALSE,-3.1,air-force,135.1
2012-13,MWC,18,14,0.563,8,8,0.5,4.18,4.28,70,67.8,30,30,30,0,20,Dave Pilipovich,FALSE,2013,FALSE,FALSE,FALSE,2.2,air-force,137.8
2011-12,MWC,13,16,0.448,3,11,0.214,-0.45,2.14,61.6,62,30,30,30,0,20,Jeff Reynolds,FALSE,2012,FALSE,FALSE,FALSE,-0.4,air-force,123.6
2010-11,MWC,16,16,0.5,6,10,0.375,2.71,3.31,64.8,65.1,30,30,30,0,20,Jeff Reynolds,FALSE,2011,FALSE,FALSE,FALSE,-0.3,air-force,129.9
2009-10,MWC,10,21,0.323,1,15,0.063,-4.9,3.13,57.2,63.1,30,30,30,0,20,Jeff Reynolds,FALSE,2010,FALSE,FALSE,FALSE,-5.9,air-force,120.3
2008-09,MWC,10,21,0.323,0,16,0,-2.99,2.37,58.7,62.5,30,30,30,0,20,Jeff Reynolds,FALSE,2009,FALSE,FALSE,FALSE,-3.8,air-force,121.2
2007-08,MWC,16,14,0.533,8,8,0.5,0.44,0.19,58.7,57.2,30,30,30,0,20,Jeff Reynolds,FALSE,2008,FALSE,FALSE,FALSE,1.5,air-force,115.9
2006-07,MWC,26,9,0.743,10,6,0.625,15.19,3.34,69,56,30,13,30,0,20,Jeff Bzdelik,FALSE,2007,FALSE,TRUE,FALSE,13,air-force,125
